料金按分集計一覧表[グループ別集計]
按分方式,空調時間按分
集計期間,2025/01/01～2025/01/31
集計日,2025/02/01 09:54

グループ名称,ガス使用量[m3],ガス従量料金[円],電力使用量[kWh],電力従量料金[円]
2175 蒼龍唐玉堂,7.6,0,3.0,0
2175 蒼龍唐玉堂,343.5,3,138.6,1
2175 蒼龍唐玉堂,45.4,0,18.3,0
2175 蒼龍唐玉堂,52.3,0,21.1,0
2180 ﾋﾞﾋﾞﾑ,87.2,0,35.2,0
2180 ﾋﾞﾋﾞﾑ,89.9,0,36.3,0
2180 ﾋﾞﾋﾞﾑ,197.9,1,79.8,0
2185 ｸｱ'ｱｲﾅ,236.7,2,95.4,0
2185 ｸｱ'ｱｲﾅ,428.3,4,172.7,1
2185 ｸｱ'ｱｲﾅ,475.5,4,191.8,1
2185 ｸｱ'ｱｲﾅ,449.4,4,181.3,1
2115b ﾗｺｽﾃ,5.0,0,2.0,0
2105 ﾒｿﾞﾋﾟｱﾉ,136.9,1,55.2,0
2105 ﾒｿﾞﾋﾟｱﾉ,135.4,1,54.6,0
1200 ｽﾀｰﾊﾞｯｸｽ,48.7,0,19.6,0
1200 ｽﾀｰﾊﾞｯｸｽ,30.0,0,12.1,0
1200 ｽﾀｰﾊﾞｯｸｽ,13.6,0,5.5,0
1200 ｽﾀｰﾊﾞｯｸｽ,2.6,0,1.1,0
1200 ｽﾀｰﾊﾞｯｸｽ,11.7,0,4.7,0
1200 ｽﾀｰﾊﾞｯｸｽ,32.4,0,13.1,0
1210 ﾀｹｵｷｸﾁ,171.0,1,69.0,0
1210 ﾀｹｵｷｸﾁ,149.4,1,60.2,0
1210 ﾀｹｵｷｸﾁ,10.4,0,4.2,0
1210 ﾀｹｵｷｸﾁ,145.7,1,58.7,0
1215 ｺﾝﾊﾞｰｽ,202.6,2,81.7,0
1215 ｺﾝﾊﾞｰｽ,109.1,1,44.0,0
1215 ｺﾝﾊﾞｰｽ,56.6,0,22.8,0
1215 ｺﾝﾊﾞｰｽ,163.5,1,66.0,0
1220 ﾌｨﾗ,144.3,1,58.2,0
1220 ﾌｨﾗ,97.4,0,39.3,0
1225　ﾘｰﾎﾞｯｸ　　　　　　,225.9,2,91.1,0
1225　ﾘｰﾎﾞｯｸ,113.5,1,45.8,0
1225　ﾘｰﾎﾞｯｸ,123.4,1,49.8,0
2200 ｷﾞｬｯﾌﾟ,1.3,0,0.5,0
2200 ｷﾞｬｯﾌﾟ,48.3,0,19.5,0
2200 ｷﾞｬｯﾌﾟ,2.8,0,1.1,0
2200 ｷﾞｬｯﾌﾟ,48.7,0,19.6,0
2200 ｷﾞｬｯﾌﾟ,162.6,1,65.6,0
2200 ｷﾞｬｯﾌﾟ,50.4,0,20.3,0
2200 ｷﾞｬｯﾌﾟ,40.1,0,16.1,0
2200 ｷﾞｬｯﾌﾟ,62.6,0,25.2,0
2200 ｷﾞｬｯﾌﾟ,26.2,0,10.6,0
2200 ｷﾞｬｯﾌﾟ,104.7,1,42.3,0
2200 ｷﾞｬｯﾌﾟ,3.2,0,1.2,0
1300 ｼﾞｬｲﾛJ,39.1,0,15.8,0
1300 ｼﾞｬｲﾛJ,25.6,0,10.3,0
