料金按分集計一覧表[グループ別集計]
按分方式,空調負荷按分
集計期間,2025/01/01～2025/01/31
集計日,2025/02/01 09:57

グループ名称,ガス使用量[m3],ガス従量料金[円],電力使用量[kWh],電力従量料金[円]
2945 ｱｽﾞﾉｰｱｽﾞ,157.2,157.200,30.4,30.400
2945 ｱｽﾞﾉｰｱｽﾞ,83.6,83.600,25.9,25.900
2945 ｱｽﾞﾉｰｱｽﾞ,89.0,89.000,25.9,25.900
2950 ｱｰｽﾐｭｰｼﾞｯｸ,139.8,139.800,35.0,35.000
2950 ｱｰｽﾐｭｰｼﾞｯｸ,62.5,62.500,25.6,25.600
2950 ｱｰｽﾐｭｰｼﾞｯｸ,23.0,23.000,23.1,23.100
2955 ｸﾛｺﾀﾞｲﾙ,542.2,542.200,73.7,73.700
2960 ｴｳﾞｨｽ,833.1,833.100,79.4,79.400
2965 ｱｼｯｸｽ,301.7,301.700,80.5,80.500
2970 ｻﾑｿﾅｲﾄ,170.9,170.900,84.4,84.400
2975 ｺﾛﾝﾋﾞｱ ｽﾎﾟｰﾂｳｪｱ,1071.4,1071.400,145.1,145.100
2980 ｺﾛﾝﾋﾞｱ ｽﾎﾟｰﾂｳｪｱ,818.6,818.600,119.2,119.200
合計,11778.8,11778.800,2755.0,2755.000
