集計値一覧 電力按分
出力日  2025年2月1日
指定月度  2025年 1月度
2025年 1月 1日 ～ 2025年 1月 31日
名称,前月使用量[kWh],今月使用量[kWh],前月比[%],前年同月比[%],停止時電力[Wh]
1F 6005-04,428.90,556.28,129.7,128.5,0
1F 6000-01,514.73,569.87,110.7,101.9,0
1F 6000-02,411.62,493.03,119.8,104.4,0
1F 6000-03,569.33,616.27,108.2,110.5,0
1F 6000-04,468.11,540.18,115.4,116.4,0
2F 7005-01,488.32,509.81,104.4,100.2,0
2F 7005-02,289.13,380.79,131.7,109.5,0
2F 7005-03,467.63,493.02,105.4,97.9,0
2F 7005-04,421.18,475.42,112.9,101.4,0
2F 7000-01,385.44,482.99,125.3,180.7,0
2F 7000-02,349.60,408.91,117.0,167.0,0
2F 7000-03,550.33,612.10,111.2,114.2,0
2F 7000-04,411.37,534.96,130.0,134.9,0
3F 客用WC（W）-04,37.34,61.62,165.0,197.9,0
3F 客用WC（M）-02,331.42,356.94,107.7,1750.9,0
